Weight_KG,Horsepower,Cylinders,Aero_Score,Is_Hybrid,MPG
1388,386,8,1.2,1,31.7
1989,379,6,8.6,0,19.5
1762,161,4,1.1,0,22.7
1400,290,4,7.3,0,26.3
1623,229,8,9.7,0,27.1
1766,116,8,4.9,1,39.2
2326,391,4,3.1,1,24.7
1918,138,4,7.3,0,25.0
2230,210,4,8.4,0,18.8
2252,281,4,5.9,1,26.6
1852,322,4,9.7,1,35.7
1577,114,4,1.5,0,28.1
1074,172,6,5.5,0,33.2
1434,286,4,7.5,0,27.4
1102,384,8,8.8,1,38.5
2445,292,6,2.6,0,11.8
1763,238,4,8.2,0,22.4
1737,103,8,6.0,0,25.3
1805,372,6,4.6,0,20.5
2329,83,8,2.2,0,19.3
1097,299,4,8.8,0,31.6
1797,99,4,2.4,0,24.9
2358,231,4,3.8,0,15.0
1858,129,4,3.6,0,22.2
1434,256,6,8.8,0,26.2
1446,175,6,7.1,0,31.7
2331,184,8,8.2,1,30.1
1248,329,4,3.3,0,28.5
1165,196,8,6.6,0,29.1
1983,307,6,6.1,0,20.5
2358,145,4,8.5,0,21.0
2019,341,4,9.2,0,18.5
1541,374,6,1.1,0,16.4
1758,322,6,7.1,0,21.1
2129,265,6,1.5,0,14.2
1080,325,6,5.9,0,24.1
1132,204,6,3.6,0,29.6
1796,347,4,3.8,0,17.2
1899,210,6,4.2,0,25.2
1137,316,4,6.6,0,29.4
1183,97,4,4.0,0,35.7
2424,119,6,7.6,1,31.6
2353,100,6,4.6,1,33.1
1784,304,4,1.6,0,13.6
1983,361,6,8.1,0,17.8
1068,87,6,3.6,0,33.7
1545,179,6,4.9,0,26.9
1052,319,8,7.2,0,28.4
2473,166,4,4.0,1,29.4
1204,377,8,1.5,0,17.0
1125,93,6,4.4,1,45.7
1042,81,8,9.5,0,37.9
1110,372,6,6.8,0,28.8
1760,120,8,7.0,0,28.1
2206,397,6,6.7,0,14.1
1847,395,8,2.8,0,18.3
1094,190,8,4.8,0,26.0
2397,93,8,7.8,0,21.1
1899,310,4,1.9,1,28.1
1359,163,8,3.5,0,28.2
1899,209,4,3.5,1,29.1
1280,310,6,4.9,1,40.0
2218,224,8,9.8,0,20.5
2218,107,6,1.6,0,21.1
1666,145,6,5.7,0,27.3
1092,242,8,2.6,1,42.7
1671,308,4,9.7,0,20.2
1060,340,8,2.0,0,25.4
1633,243,6,4.6,0,26.0
2074,380,6,7.6,0,16.5
2426,382,8,7.3,0,11.0
2028,366,4,4.8,0,14.9
2489,89,4,4.1,0,18.7
1603,274,6,4.6,1,33.6
1681,197,6,3.4,0,23.7
1533,349,4,2.8,1,35.6
2428,159,8,5.3,0,17.4
1837,172,6,3.4,1,34.2
1644,345,4,3.6,0,20.9
1232,336,6,6.9,0,25.7
1523,212,8,9.7,0,25.6
1345,355,4,6.4,1,36.0
2069,343,6,1.7,0,14.7
1545,250,8,1.7,1,36.8
2101,80,6,9.6,1,36.4
2096,392,8,3.7,0,16.1
1793,143,8,1.8,0,23.5
1248,363,4,6.4,0,22.6
1046,200,8,6.6,0,29.2
2144,186,6,6.8,1,37.3
1213,254,8,3.4,0,26.6
1238,283,8,1.1,0,26.6
2079,244,4,9.7,1,30.3
1349,384,8,3.3,0,26.9
1106,199,8,7.1,1,45.3
1830,123,6,7.4,0,26.2
1047,391,4,6.5,0,25.4
1336,235,4,3.8,0,28.0
2049,286,4,3.4,0,19.0
1803,187,8,6.4,0,24.9
2280,330,4,8.8,0,16.7
1007,209,8,9.5,0,34.5
1624,372,8,2.0,0,15.1
2276,99,6,2.4,0,19.7
1718,361,6,9.5,0,18.4
1302,364,6,7.6,0,26.1
1638,80,6,8.9,0,29.3
1055,198,6,2.8,0,26.8
1725,114,8,6.3,0,25.9
1525,277,8,7.3,0,25.4
1473,324,4,7.1,0,23.7
1027,138,8,4.7,0,30.6
1077,240,8,1.1,0,24.2
2239,258,6,6.2,1,30.1
2409,285,8,3.3,0,12.8
1364,91,6,5.1,0,30.6
1665,355,4,9.6,0,22.2
1525,260,4,4.6,0,25.1
1698,321,8,8.6,1,36.4
2335,295,4,2.7,0,14.4
1882,330,8,7.1,0,19.2
2030,378,4,9.8,0,18.3
2026,205,6,1.9,0,18.9
1918,296,6,1.1,0,14.2
1749,385,6,4.9,0,20.6
1362,364,6,1.8,0,23.2
2297,264,8,7.7,0,22.0
1805,118,4,9.2,0,32.6
1738,302,8,4.9,0,18.7
2038,263,6,3.3,0,17.7
2215,257,8,4.9,0,22.6
1484,373,4,7.5,1,34.6
1027,230,8,1.1,0,28.9
1713,205,4,6.3,1,33.8
2062,380,8,6.5,0,16.5
2296,387,4,6.7,0,17.7
2254,313,4,3.2,0,17.2
1085,87,6,7.4,0,34.0
2497,208,4,1.8,0,13.9
1125,343,6,2.8,0,22.6
1811,236,6,8.9,0,22.6
1536,84,6,7.6,1,39.1
1144,165,8,1.1,0,29.0
2235,254,8,3.2,0,19.7
1024,369,8,2.9,0,25.9
2417,272,8,3.4,0,17.1
1066,390,4,3.2,0,26.4
1232,198,4,1.6,0,26.4
1108,297,8,5.1,1,38.1
2169,193,4,7.6,0,19.9
1110,224,4,6.5,0,27.0
1227,105,6,7.1,0,33.2
1110,215,6,1.7,1,34.5
2493,382,6,9.6,0,14.6
1033,311,6,8.5,0,29.8
1622,155,4,8.2,0,29.2
2392,381,8,8.4,0,16.0
1747,368,4,9.4,0,21.6
1594,80,4,5.9,0,32.9
1424,226,4,2.8,0,26.6
1612,366,6,6.6,0,19.7
1691,221,6,7.7,0,24.8
2305,132,6,7.6,0,17.3
2343,383,8,5.7,0,11.1
2466,148,4,1.6,0,15.9
1314,169,8,4.3,0,30.1
1876,299,6,9.3,0,20.4
2400,271,8,6.3,0,13.5
2312,142,4,5.8,1,28.8
2460,152,4,3.4,1,28.4
1661,240,6,4.3,0,27.2
1276,248,6,9.1,0,29.9
1623,168,8,7.0,0,29.1
1515,255,6,8.1,0,24.4
2373,348,6,5.1,0,10.2
1842,152,4,6.7,0,22.9
2469,324,6,3.2,0,12.0
1349,156,6,7.3,0,26.5
1822,238,4,4.8,0,20.1
2160,177,4,5.0,0,19.4
1758,181,8,6.8,0,22.8
1898,211,6,9.4,0,20.2
